name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
안산시,37.3173,126.8209,visual art,0.0,fine art,0.0,illustrat,0.0
Gimhae,35.2339,128.8845,visual art,0.0,fine art,0.0,illustrat,0.0
천안,36.8136,127.1417,visual art,0.0,fine art,0.0,illustrat,0.0
Jinju,35.1757,128.1178,visual art,0.0,fine art,0.0,illustrat,0.0
광명,37.4419,126.8469,visual art,0.0,fine art,0.0,illustrat,0.0
Hong Kong,22.3193,114.1694,festival,13.0,paint,8.0,contemporary,6.0
高雄市,22.6273,120.3014,玻璃,12.0,glass,5.0,概念,3.0
北市,25.033,121.5654,概念,4.0,雕塑,4.0,陶瓷,3.0
臺南,22.9999,120.2269,陶瓷,2.0,雕塑,2.0,沉浸式,2.0
臺中,24.1632,120.6747,雕塑,6.0,交互,1.0,visual art,0.0
板橋,25.0114,121.4618,design,5.0,手作,2.0,概念,2.0
員林,23.9596,120.5855,visual art,0.0,fine art,0.0,illustrat,0.0
新竹,24.8138,120.9675,玻璃,4.0,glass,1.0,概念,1.0
桃園,24.9917,121.299,design,8.0,概念,5.0,雕塑,4.0
花蓮,23.9872,121.6016,visual art,0.0,fine art,0.0,illustrat,0.0
Delhi,28.7041,77.1025,photograph,11.0,fair,9.0,paint,7.0
Mumbai,19.076,72.8777,contemporary,32.0,modern,19.0,paint,15.0
Kolkata,22.5744,88.3629,contemporary,18.0,paint,14.0,modern,11.0
Chennai,13.0843,80.2705,paint,11.0,arte,11.0,contemporary,7.0
Ahmedabad,23.0225,72.5714,contemporary,6.0,modern,6.0,fair,5.0
Kanpur,26.4499,80.3319,paint,11.0,craft,2.0,draw,1.0
Jaipur,26.9124,75.7873,craft,9.0,folk,8.0,paint,6.0
Pune,18.5204,73.8567,paint,18.0,contemporary,16.0,craft,6.0
Hyderabad,25.396,68.3578,modern,24.0,immers,18.0,contemporary,16.0
Surat,21.1702,72.8311,arte,4.0,paint,3.0,design,3.0
Muzaffarabad,34.3551,73.4769,craft,12.0,festival,11.0,immers,11.0
Gujranwala,32.1877,74.1945,festival,9.0,immers,8.0,modern,7.0
Quetta,30.1834,66.9987,craft,17.0,immers,15.0,festival,10.0
